"146","Fashion/Apparel Design"
"147","Applied Mathematics"
"148","Engineering Physics/Applied Physics"
"149","Applied Economics"
"150","Apparel and Textiles"
"151","Computer Software and Media Applications"
"152","Applied Psychology"
"153","Applied Linguistics"
"154","Public/Applied History"
"155","Computational and Applied Mathematics"
"156","Public Relations, Advertising, and Applied Communication"
"157","Applied Behavior Analysis"
"158","Data Entry/Microcomputer Applications"
"159","Apparel and Textile Manufacture"
"160","Applied and Professional Ethics"
"161","Apparel and Textile Marketing Management"
"162","Military Technologies and Applied Sciences"
"163","Clinical, Counseling and Applied Psychology"
"164","Aquatic Biology/Limnology"
"165","Aquaculture"
"166","Architecture"
"167","Art/Art Studies, General"
"168","Fine/Studio Arts, General"
"169","Art History, Criticism and Conservation"
"170","Landscape Architecture"
"171","Culinary Arts/Chef Training"
"172","Drama and Dramatics/Theatre Arts, General"
"173","Classical, Ancient Mediterranean and Near Eastern Studies and Archaeology"
"174","Architectural Engineering"
"175","Naval Architecture and Marine Engineering"
"176","Architectural and Building Sciences/Technology"
"177","Arts, Entertainment, and Media Management"
"178","Interior Architecture"
"179","Artificial Intelligence"
"180","Military Operational Art and Science/Studies"
"181","Visual and Performing Arts"
"182","Art Therapy/Therapist"
"183","Legal Assistant/Paralegal"
"184","Computer and Information Systems Security/Information Assurance"
"185","Medical/Clinical Assistant"
"186","Physician Assistant"
"187","Teaching English as a Second or Foreign Language/ESL Language Instructor"
"188","Asian Studies/Civilization"
"189","Astrophysics"
"190","Astronomy"
"191","East Asian Studies"
"192","Veterinary/Animal Health Technology/Technician and Veterinary Assistant"
"193","Medical/Health Management and Clinical Assistant/Specialist"
"194","Dental Assisting/Assistant"
"195","Executive Assistant/Executive Secretary"
"196","Medical Administrative/Executive Assistant and Medical Secretary"
"197","Pharmacy Technician/Assistant"
"198","Medical Office Assistant/Specialist"
"199","Athletic Training/Trainer"
"200","Atmospheric Sciences and Meteorology"
"201","Atmospheric Physics and Dynamics"
"202","Atomic/Molecular Physics"
"203","Atmospheric Chemistry and Climatology"
"204","Health Aides/Attendants/Orderlies"
"205","Airline Flight Attendant"
"206","Audiology/Audiologist and Speech-Language Pathology/Pathologist"
"207","Business/Office Automation/Technology/Data Entry"
"208","Mechatronics, Robotics, and Automation Engineering"
"209","Auditing"
"210","Automotive Engineering Technology/Technician"
"211","Auctioneering"
"212","Automobile/Automotive Mechanics Technology/Technician"
"213","Assistive/Augmentative Technology and Rehabilitation Engineering"
"214","Autobody/Collision and Repair Technology/Technician"
"215","Audiology/Audiologist"
"216","Australian/Oceanic/Pacific Languages, Literatures, and Linguistics"
"217","Automation Engineer Technology/Technician"
"218","Audiovisual Communications Technologies/Technicians"
"219","Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics"
"220","Education/Teaching of Individuals with Autism"
"221","Avionics Maintenance Technology/Technician"
"222","Personal Awareness and Self-Improvement"
"223","Self-Awareness and Personal Assessment"
"224","Career Exploration/Awareness Skills"
"225","Community Awareness"
"226","Ayurvedic Medicine/Ayurveda"
"227","Banking and Financial Support Services"
"228","Banking, Corporate, Finance, and Securities Law"
"229","Cosmetology, Barber/Styling, and Nail Instructor"
"230","Medical Microbiology and Bacteriology"
"231","Baking and Pastry Arts/Baker/Pastry Chef"
"232","Ballet"
"233","Bartending/Bartender"
"234","Barbering/Barber"
"235","Basic Skills and Developmental/Remedial Education"
"236","Balkans Studies"
"237","Basic Computer Skills"
"238","Baltic Studies"
"239","Baltic Languages, Literatures, and Linguistics"
"240","Blood Banking/Transfusion Medicine Residency Program"
"241","Energy and Biologically Based Therapies"
"242","Blood Bank Technology Specialist"
"243","Behavioral Sciences"
"244","Organizational Behavior Studies"
"245","Neurobiology and Behavior"
"246","Behavioral Aspects of Health"
"247","Animal Behavior and Ethology"
"248","Bengali Language and Literature"
"249","Salon/Beauty Salon Management/Manager"
"250","Developmental-Behavioral Pediatrics Residency Program"
"251","Veterinary Behaviorist Residency Program"
"252","Biology, General"
"253","Biochemistry"
"254","Biotechnology"
"255","Biomedical/Medical Engineering"
"256","Biology/Biological Sciences, General"
"257","Zoology/Animal Biology"
"258","Molecular Biology"
"259","Bioengineering and Biomedical Engineering"
"260","Botany/Plant Biology"
"261","Bible/Biblical Studies"
"262","Biochemistry and Molecular Biology"
"263","Bioinformatics"
"264","Biomedical Sciences, General"
"265","Marine Biology and Biological Oceanography"
"266","Human Biology"
"267","Biophysics"
"268","Biostatistics"
"269","Cell Biology and Anatomy"
"270","Environmental Biology"
"271","Biochemical Engineering"
"272","Blasting/Blaster"
"273","Education/Teaching of Individuals with Vision Impairments Including Blindness"
"274","Bosnian, Serbian, and Croatian Languages and Literatures"
"275","Boilermaking/Boilermaker"
"276","Asian Bodywork Therapy"
"277","Movement and Mind-Body Therapies and Education"
"278","Explosive Ordinance/Bomb Disposal"
"279","Somatic Bodywork"
"280","Somatic Bodywork and Related Therapeutic Services"
"281","Shoe, Boot and Leather Repair"
"282","Board, Card and Role-Playing Games"
"283","Broadcast Journalism"
"284","Brass Instruments"
"285","Radio and Television Broadcasting Technology/Technician"
"286","Education/Teaching of Individuals with Traumatic Brain Injuries"
"287","Business/Commerce, General"
"288","International Business"
"289","Business/Managerial Economics"
"290","International Business/Trade/Commerce"
"291","Business/Corporate Communications"
"292","International Business, Trade, and Tax Law"
"293","Building Construction Technology"
"294","Business Family and Consumer Sciences/Human Sciences"
"295","Building/Home/Construction Inspection/Inspector"
"296","Business Statistics"
"297","Building/Construction Finishing, Management, and Inspection"
"298","Geographic Information Science and Cartography"
"299","CAD/CADD Drafting and/or Design Technology/Technician"
"300","Canadian Law/Legal Studies/Jurisprudence"
"301","Architectural Drafting and Architectural CAD/CADD"
"302","Oncology and Cancer Biology"
"303","Clinical, Hospital, and Managed Care Pharmacy"
"304","Carpentry/Carpenter"
"305","Restaurant, Culinary, and Catering Management/Manager"
"306","Mechanical Drafting and Mechanical Drafting CAD/CADD"
"307","Critical Care Nursing"
"308","Geography and Cartography"
"309","Canadian Studies"
"310","Cardiovascular Technology/Technologist"
"311","Carpenters"
"312","Long Term Care Administration/Management"
"313","Canadian History"
"314","Cabinetmaking and Millwork"
"315","Russian, Central European, East European and Eurasian Studies"
"316","Ceramic Sciences and Engineering"
"317","Ceramic Arts and Ceramics"
"318","High School/Secondary Diplomas and Certificates"
"319","Cell/Cellular and Molecular Biology"
"320","Cell/Cellular Biology and Histology"
"321","Cell/Cellular Biology and Anatomical Sciences"
"322","Cell Physiology"
"323","Celtic Languages, Literatures, and Linguistics"
"324","Customer Service Support/Call Center/Teleservice Operation"
"325","Computer Programming, Vendor/Product Certification"
